User ID,Ticket ID,Opened Date,Priority,First Response Time,First Response Date,Resolution Time,Resolved Date,Status,Subject,Happiness Rating
7,INC-1,2022-06-18 05:32:00,High,82.01,2022-06-18 06:54:00.600000,267.13,2022-06-18 09:59:07.800000,Closed,Compatibility Billing Plan Label Refund Functionality.,Happy
290,INC-2,2022-06-18 20:55:00,Medium,36.63,2022-06-18 21:31:37.800000,517.49,2022-06-19 05:32:29.400000,Closed,File Cancellation Broken Attachment Installation Menu Firewall Sort.,Happy
147,INC-3,2022-06-19 19:43:00,Low,2.67,2022-06-19 19:45:40.200000,6995.78,2022-06-24 16:18:46.800000,Closed,Backup Navigation Migration Slow Feature Restore.,Happy
166,INC-4,2022-06-19 14:06:00,Medium,247.5,2022-06-19 18:13:30,302.78,2022-06-19 19:08:46.800000,Closed,Problem Radio button Permission Migration Setting Unresponsive Access.,Happy
233,INC-5,2022-06-20 00:46:00,Medium,29.34,2022-06-20 01:15:20.400000,44.36,2022-06-20 01:30:21.600000,Closed,Feature Field Usability Button.,Neutral
2,INC-6,2022-06-20 07:05:00,High,1016.38,2022-06-21 00:01:22.800000,1698.67,2022-06-21 11:23:40.200000,Closed,Lag Text button Trace Authorization Text button Unresponsive.,Neutral
90,INC-7,2022-06-20 12:34:00,Medium,1293.63,2022-06-21 10:07:37.800000,1310.64,2022-06-21 10:24:38.400000,Closed,Failed Domain Field Pricing Update Lag.,Neutral
120,INC-8,2022-06-20 04:27:00,High,3.52,2022-06-20 04:30:31.200000,49.220000000000006,2022-06-20 05:16:13.200000,Closed,Error Bug User IP Address.,Happy
113,INC-9,2022-06-20 10:01:00,Low,262.51,2022-06-20 14:23:30.599999999,1252.9,2022-06-21 06:53:54,Closed,Setting Code Integration Video Offline Warning Setting.,Unhappy
172,INC-10,2022-06-20 01:22:00,Low,2389.4,2022-06-21 17:11:24,2727.17,2022-06-21 22:49:10.200000,Closed,Offline Preference Error message Update.,Happy
257,INC-11,2022-06-20 05:52:00,Urgent,25.56,2022-06-20 06:17:33.600000,122.85000000000001,2022-06-20 07:54:51,Closed,Down Image Access Design.,Happy
103,INC-12,2022-06-20 02:32:00,Medium,386.58,2022-06-20 08:58:34.800000,442.16999999999996,2022-06-20 09:54:10.199999999,Closed,Upgrade Setting Functionality Problem Radio button.,Happy
127,INC-13,2022-06-20 05:34:00,Medium,253.8,2022-06-20 09:47:48,417.84000000000003,2022-06-20 12:31:50.400000,Closed,Checkbox TextArea Refund Domain.,Neutral
105,INC-14,2022-06-20 05:33:00,Low,22.09,2022-06-20 05:55:05.400000,55.92,2022-06-20 06:28:55.200000,Closed,Restore Issue Permission Option Sort.,Happy
